Average Error: 258
FlowID: 52.84.76.175      Estimated Size: 10437      True Size: 9450
FlowID: 159.178.237.53      Estimated Size: 10238      True Size: 9681
FlowID: 104.17.183.118      Estimated Size: 9969      True Size: 9956
FlowID: 104.154.198.228      Estimated Size: 9867      True Size: 9835
FlowID: 159.178.108.111      Estimated Size: 9835      True Size: 9848
FlowID: 187.237.14.200      Estimated Size: 9739      True Size: 9747
FlowID: 70.187.95.95      Estimated Size: 9519      True Size: 9510
FlowID: 103.26.37.253      Estimated Size: 9318      True Size: 9324
FlowID: 96.7.182.150      Estimated Size: 9230      True Size: 8364
FlowID: 88.231.33.95      Estimated Size: 9185      True Size: 8968
FlowID: 104.92.17.82      Estimated Size: 9162      True Size: 8390
FlowID: 73.224.42.241      Estimated Size: 9125      True Size: 8910
FlowID: 165.215.209.15      Estimated Size: 8960      True Size: 8982
FlowID: 54.230.161.109      Estimated Size: 8799      True Size: 8673
FlowID: 159.178.102.100      Estimated Size: 8727      True Size: 8733
FlowID: 159.178.107.44      Estimated Size: 8690      True Size: 8698
FlowID: 216.52.195.182      Estimated Size: 8586      True Size: 8584
FlowID: 23.202.88.31      Estimated Size: 8438      True Size: 8462
FlowID: 157.55.39.140      Estimated Size: 8021      True Size: 8058
FlowID: 149.169.208.76      Estimated Size: 8016      True Size: 8030
FlowID: 92.167.68.76      Estimated Size: 7921      True Size: 2
FlowID: 104.16.89.188      Estimated Size: 7867      True Size: 7867
FlowID: 128.227.112.222      Estimated Size: 7829      True Size: 7904
FlowID: 178.91.21.74      Estimated Size: 7802      True Size: 22
FlowID: 69.252.101.144      Estimated Size: 7767      True Size: 7763
FlowID: 66.249.64.14      Estimated Size: 7727      True Size: 7701
FlowID: 156.154.65.196      Estimated Size: 7601      True Size: 7597
FlowID: 159.178.137.117      Estimated Size: 7510      True Size: 7581
FlowID: 34.206.148.175      Estimated Size: 7493      True Size: 7485
FlowID: 91.198.117.247      Estimated Size: 7420      True Size: 7394
FlowID: 63.251.240.12      Estimated Size: 7382      True Size: 7380
FlowID: 192.210.199.106      Estimated Size: 7368      True Size: 7374
FlowID: 69.42.126.188      Estimated Size: 7349      True Size: 973
FlowID: 68.64.22.136      Estimated Size: 7210      True Size: 7262
FlowID: 159.178.112.71      Estimated Size: 7103      True Size: 7315
FlowID: 172.217.8.80      Estimated Size: 7098      True Size: 7187
FlowID: 159.178.115.102      Estimated Size: 7067      True Size: 7063
FlowID: 98.18.16.218      Estimated Size: 7049      True Size: 6944
FlowID: 66.44.60.119      Estimated Size: 7030      True Size: 130
FlowID: 159.178.129.112      Estimated Size: 7007      True Size: 7011
FlowID: 8.27.160.227      Estimated Size: 6965      True Size: 7272
FlowID: 73.224.76.160      Estimated Size: 6953      True Size: 6946
FlowID: 120.239.64.18      Estimated Size: 6845      True Size: 7122
FlowID: 71.6.146.185      Estimated Size: 6793      True Size: 6808
FlowID: 98.18.150.191      Estimated Size: 6678      True Size: 6714
FlowID: 95.101.36.67      Estimated Size: 6670      True Size: 6666
FlowID: 159.178.32.133      Estimated Size: 6651      True Size: 5890
FlowID: 112.198.103.2      Estimated Size: 6650      True Size: 6652
FlowID: 159.178.108.48      Estimated Size: 6627      True Size: 6501
FlowID: 209.112.113.33      Estimated Size: 6591      True Size: 6487
