Average Error: 122
Flow ID: 187.237.14.200      Estimated Size: 10000      True Size: 9747
Flow ID: 104.17.183.118      Estimated Size: 9990      True Size: 9956 
Flow ID: 104.154.198.228      Estimated Size: 9867      True Size: 9835
Flow ID: 159.178.108.111      Estimated Size: 9854      True Size: 9848
Flow ID: 52.84.76.175      Estimated Size: 9715      True Size: 9450   
Flow ID: 159.178.237.53      Estimated Size: 9705      True Size: 9681 
Flow ID: 88.231.33.95      Estimated Size: 9678      True Size: 8968   
Flow ID: 70.187.95.95      Estimated Size: 9621      True Size: 9510   
Flow ID: 103.26.37.253      Estimated Size: 9354      True Size: 9324  
Flow ID: 165.215.209.15      Estimated Size: 9283      True Size: 8982 
Flow ID: 73.224.42.241      Estimated Size: 8956      True Size: 8910  
Flow ID: 159.178.102.100      Estimated Size: 8768      True Size: 8733
Flow ID: 216.52.195.182      Estimated Size: 8725      True Size: 8584 
Flow ID: 159.178.107.44      Estimated Size: 8698      True Size: 8698 
Flow ID: 54.230.161.109      Estimated Size: 8673      True Size: 8673
Flow ID: 23.202.88.31      Estimated Size: 8577      True Size: 8462
Flow ID: 96.7.182.150      Estimated Size: 8566      True Size: 8364
Flow ID: 104.92.17.82      Estimated Size: 8402      True Size: 8390
Flow ID: 174.70.89.126      Estimated Size: 8291      True Size: 7291
Flow ID: 156.154.65.196      Estimated Size: 8104      True Size: 7597
Flow ID: 157.55.39.140      Estimated Size: 8058      True Size: 8058
Flow ID: 149.169.208.76      Estimated Size: 8054      True Size: 8030
Flow ID: 128.227.112.222      Estimated Size: 7927      True Size: 7904
Flow ID: 104.16.89.188      Estimated Size: 7883      True Size: 7867
Flow ID: 69.252.101.144      Estimated Size: 7776      True Size: 7763
Flow ID: 66.249.64.14      Estimated Size: 7709      True Size: 7701
Flow ID: 159.178.129.91      Estimated Size: 7600      True Size: 6783
Flow ID: 159.178.137.117      Estimated Size: 7589      True Size: 7581
Flow ID: 34.206.148.175      Estimated Size: 7485      True Size: 7485
Flow ID: 192.210.199.106      Estimated Size: 7404      True Size: 7374
Flow ID: 91.198.117.247      Estimated Size: 7402      True Size: 7394
Flow ID: 63.251.240.12      Estimated Size: 7397      True Size: 7380
Flow ID: 8.27.160.227      Estimated Size: 7321      True Size: 7272
Flow ID: 159.178.112.71      Estimated Size: 7315      True Size: 7315
Flow ID: 68.64.22.136      Estimated Size: 7284      True Size: 7262
Flow ID: 120.239.64.18      Estimated Size: 7191      True Size: 7122
Flow ID: 172.217.8.80      Estimated Size: 7190      True Size: 7187
Flow ID: 98.18.16.218      Estimated Size: 7174      True Size: 6944
Flow ID: 159.178.115.102      Estimated Size: 7069      True Size: 7063
Flow ID: 159.178.129.112      Estimated Size: 7036      True Size: 7011
Flow ID: 95.101.36.67      Estimated Size: 6995      True Size: 6666
Flow ID: 73.224.76.160      Estimated Size: 6946      True Size: 6946
Flow ID: 159.178.100.162      Estimated Size: 6874      True Size: 6392
Flow ID: 71.6.146.185      Estimated Size: 6812      True Size: 6808
Flow ID: 112.198.103.2      Estimated Size: 6725      True Size: 6652
Flow ID: 98.18.150.191      Estimated Size: 6722      True Size: 6714
Flow ID: 159.178.108.48      Estimated Size: 6670      True Size: 6501
Flow ID: 54.192.205.183      Estimated Size: 6575      True Size: 6537
Flow ID: 209.112.113.33      Estimated Size: 6517      True Size: 6487
Flow ID: 75.250.73.219      Estimated Size: 6494      True Size: 2
Flow ID: 171.161.207.200      Estimated Size: 6439      True Size: 6136
Flow ID: 198.245.89.70      Estimated Size: 6368      True Size: 6296
Flow ID: 159.178.109.180      Estimated Size: 6306      True Size: 5744
Flow ID: 159.178.100.33      Estimated Size: 6284      True Size: 5996
Flow ID: 159.178.119.40      Estimated Size: 6172      True Size: 6164
Flow ID: 167.68.20.174      Estimated Size: 6151      True Size: 5423
Flow ID: 159.178.100.82      Estimated Size: 6062      True Size: 6058
Flow ID: 159.178.100.84      Estimated Size: 6047      True Size: 5867
Flow ID: 66.231.139.112      Estimated Size: 6042      True Size: 5862
Flow ID: 178.33.214.223      Estimated Size: 5980      True Size: 5946
Flow ID: 54.192.205.60      Estimated Size: 5922      True Size: 5543
Flow ID: 207.46.13.156      Estimated Size: 5921      True Size: 5892
Flow ID: 159.178.32.133      Estimated Size: 5892      True Size: 5890
Flow ID: 198.102.61.236      Estimated Size: 5756      True Size: 5752
Flow ID: 66.87.114.206      Estimated Size: 5748      True Size: 5722
Flow ID: 99.166.162.58      Estimated Size: 5719      True Size: 5530
Flow ID: 69.172.201.238      Estimated Size: 5697      True Size: 5690
Flow ID: 204.74.115.1      Estimated Size: 5681      True Size: 5681
Flow ID: 40.76.218.33      Estimated Size: 5665      True Size: 5386
Flow ID: 199.204.59.137      Estimated Size: 5643      True Size: 5472
Flow ID: 104.92.16.146      Estimated Size: 5599      True Size: 5571
Flow ID: 23.15.61.170      Estimated Size: 5566      True Size: 5396
Flow ID: 35.190.151.98      Estimated Size: 5550      True Size: 5524
Flow ID: 128.227.220.36      Estimated Size: 5530      True Size: 5525
Flow ID: 128.227.111.65      Estimated Size: 5512      True Size: 4878
Flow ID: 149.111.148.27      Estimated Size: 5465      True Size: 5421
Flow ID: 209.73.179.8      Estimated Size: 5397      True Size: 5108
Flow ID: 107.77.218.214      Estimated Size: 5368      True Size: 5254
Flow ID: 212.227.17.4      Estimated Size: 5361      True Size: 5356
Flow ID: 82.221.131.209      Estimated Size: 5294      True Size: 4673
Flow ID: 216.200.96.194      Estimated Size: 5286      True Size: 5168
Flow ID: 184.50.26.236      Estimated Size: 5256      True Size: 5254
Flow ID: 128.227.236.254      Estimated Size: 5253      True Size: 5102
Flow ID: 24.236.111.9      Estimated Size: 5218      True Size: 5216
Flow ID: 59.45.175.56      Estimated Size: 5215      True Size: 5172
Flow ID: 96.7.49.194      Estimated Size: 5161      True Size: 5139
Flow ID: 216.58.219.67      Estimated Size: 5144      True Size: 5122
Flow ID: 159.178.108.184      Estimated Size: 5115      True Size: 5038
Flow ID: 159.178.106.176      Estimated Size: 5049      True Size: 3834
Flow ID: 128.227.71.18      Estimated Size: 5042      True Size: 4926
Flow ID: 208.80.124.2      Estimated Size: 5024      True Size: 5001
Flow ID: 104.92.12.53      Estimated Size: 5011      True Size: 5000
Flow ID: 159.178.96.156      Estimated Size: 5003      True Size: 4992
Flow ID: 188.184.36.52      Estimated Size: 5000      True Size: 4904
Flow ID: 208.80.125.4      Estimated Size: 4966      True Size: 4966
Flow ID: 108.77.224.238      Estimated Size: 4953      True Size: 4060
Flow ID: 170.146.96.193      Estimated Size: 4938      True Size: 4926
Flow ID: 104.17.8.41      Estimated Size: 4934      True Size: 4932
Flow ID: 54.67.57.25      Estimated Size: 4868      True Size: 4848
Flow ID: 107.77.220.66      Estimated Size: 4836      True Size: 4836
